COMPOUND,Molecular Weight (g/mol),Limit of Safety (µg/g),Limit of Quantitation (µg/g),Limit of Detection (µg/g),Simulated 1 (µg/g),Simulated 2 (µg/g),Molecular Formula
ABAMECTIN,873.14,0.1,0.04,0.01153,0.075,0.084,C48H72O14
ACEPHATE,183.17,0.1,0.02,0.00368,0.087,0.065,C4H10NO3PS
ACEQUINOCYL,338.41,0.1,0.02,0.00417,0.058,0.064,C26H22ClN3O4
ACETAMIPRID,222.24,0.1,0.02,0.00464,0.067,0.068,C10H11ClN4
ALDICARB,206.27,0,0.04,0.01109,0,0,C11H18N2O2S
AZOXYSTROBIN,403.35,0.1,0.02,0.00639,0.091,0.063,C22H17N3O5
BIFENAZATE,300.36,0.1,0.02,0.00355,0.082,0.066,C17H20N2O2
BIFENTHRIN,422.87,3,0.04,0.00473,2.473,1.527,C23H22ClF3O2
BOSCALID,343.83,0.1,0.02,0.00494,0.073,0.161,C18H12Cl2N2O
CARBARYL,201.22,0.5,0.02,0.00295,0.297,0.468,C12H11NO2
CARBOFURAN,221.25,0,0.02,0.00613,0,0,C12H15NO3
CHLORANTRANILIPROLE,483.66,10,0.04,0.00697,7.152,5.033,C17H18Cl2N4O2
CLOFENTEZINE,303.71,0.1,0.02,0.0054,0.052,0.062,C14H8Cl2N4
COUMAPHOS,362.3,0,0.02,0.00215,0,0,C14H8Cl2N4
CYFLUTHRIN,434.84,2,0.2,0.05508,1.134,1.141,C22H18Cl2F2NO3
CYPERMETHRIN,416.3,1,0.04,0.00556,0.629,0.533,C22H19Cl2NO3
DAMINOZIDE,159.18,0,0.04,0.00227,0,0,C6H12N2O3
DIAZINON,304.38,0.1,0.02,0.00487,0.057,0.063,C12H21N2O3PS
DIMETHOATE,229.25,0,0.02,0.00354,0,0,C5H12NO3PS2
DIMETHOMORPH I,387.43,2,0.0078,0.00109,1.348,1.0058,C21H22ClNO4
DIMETHOMORPH II,387.43,2,0.0122,0.0015,1.237,1.0099,C21H22ClNO4
ETHOPROPHOS,242.32,0,0.02,0.0041,0,0,C7H16NO3PS2
